Table,AP Delivery Zone ID,Lodgement Zone,Lodgement Zone State,To Postcode,Destination Zone Code,Destination Zone State,Description,Postcode Delivery Zone,State Classification,State Area,Postcode Delivery Zone Description
Delivery_Zone,DZ0001,V0,VIC,4248,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4249,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4250,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4251,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4252,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4253,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4254,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4255,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4256,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4257,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4258,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4259,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4260,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4261,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4262,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4263,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4264,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4265,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4266,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4267,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4268,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4269,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9726,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9727,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9728,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9729,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9730,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9731,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9732,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9733,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9734,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9735,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9736,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9737,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,9738,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
